Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
HIST2H2AC	TMEM63A	CHIT1	LINC01731	COLGALT2	WARS2-AS1	AL590560.3	RIIAD1	SEMA4A	HAPLN2	AL596087.2	AL358472.2	AL592494.2	CGN	LINC01031	GPA33	RGS1	AL354771.1	SYPL2	NBPF11	AL603832.1	MTX1	C1orf74	RNASEL	CADM3	AL354953.1	DNM3	TDRD5	METTL18	AL449223.1	TDRD5	HSD11B1-AS1	AL359081.1	NPL	SEC16B	LINC01954	MTMR11	TDRKH-AS1	ILF2	AL357568.1	TMEM81	AL354953.1	TNR	IER5	AL391001.1	FAM78B	NBPF26	ESRRG	PBXIP1	AL451047.1	LINC00467	MRPS14	AC108488.1	CFAP126	AL136988.2	USP21	AL136984.1	TNR	CYB5R1	PTPN7	MIR181A1HG	AC096677.1	ZC3H11A	RAB29	CENPF	KCNN3	AL354771.1	ZC3H11A	NES	PTGS2	LINC01719	LINC01680	RGS4	TMCO1-AS1	AL583804.1	AL449223.1	LINC01344	AL451085.1	AL450163.1	AL590560.2	F5	LEMD1	PTPRC	RASAL2-AS1	HIST2H2BE	EFNA1	AL358472.5	RUSC1-AS1	LGR6	PPFIA4	AL355388.2
HIST2H2AB	SDE2	LINC01353	PPIAL4G	AL096803.4	AL359915.1	IGSF9	C2CD4D-AS1	BGLAP	SH2D2A	LINC00970	DCST1-AS1	LINC02591	AL365436.2	C1orf53	AL136984.1	RGS2	LINC01351	GSTM4	NBPF14	LINC01765	FAM189B	SERTAD4-AS1	AL354953.1	CADM3-AS1	AL449223.1	DNM3-IT1	XPR1	AL137157.1	AL713852.1	KIAA1614	AC092803.1	CRB1	NCF2	FAM163A	GREB1	CA14	AL450992.2	AL358472.4	AL357568.2	RBBP5	AL713852.1	LINC02803	NMNAT2	AL357568.1	AL596087.2	CD160	SPATA17	DCST2	IBA57	NEK2	NIBAN1	MATN3	AL358115.1	PCNX2	ADAMTS4	ADCY10	LINC02803	ETNK2	SYT2	AC104461.1	ELF3-AS1	KISS1	RAB7B	LYPLAL1-AS1	PBXIP1	LINC01351	KLHDC8A	OR10Z1	RGS13	LINC02804	B3GALT2	CD247	FAM78B	Z99572.1	AL713852.2	AL355999.1	TSACC	C1orf226	IGSF9	C1orf105	BLACAT1	AL157402.2	AL353708.1	MTMR11	MUC1	AL358472.2	PAQR6	AC104463.2	ZBED6	PMF1
CA14	ITPKB	PLEKHA6	AC239804.1	ERVMER61-1	AC253572.2	AL592295.3	TCHH	LRRC71	AL590560.2	LINC01681	MEX3A	AC246785.3	FLG2	ZNF281	DNM3-IT1	PTPRC	KCNT2	GSTM2	NOTCH2NLC	LINC01762	RUSC1-AS1	SLC30A1	APOBEC4	ACKR1	RGL1	SLC9C2	AL162431.1	Z99127.1	PDC	RGS16	LINC02817	AL136322.1	NIBAN1	RGS16	MIR3681HG	CGN	DCST2	CREB3L4	POGK	MAPKAPK2	RGS2	AL136114.1	AL354953.1	AL357568.2	SELL	NBPF10	TGFB2	ADAM15	HIST3H2A	AC096637.1	PLA2G4A	AC012074.1	FAM78B	MAP3K21	AL357568.2	AL023755.1	AL591043.2	GOLT1A	CYB5R1	ZNF281	PCAT6	GOLT1A	RASSF5	SUSD4	PYGO2	AL391645.1	LEMD1	AIM2	AL136454.1	LINC01138	AL136456.1	ATP1B1	AL626787.1	AL139142.1	PDC	LAMC2	ISG20L2	PBX1	VANGL2	TNFSF4	KCNH1	AL358473.2	LAMC2	CA14	AC234582.1	KCNN3	RHBG	IKBKE	PLEKHA6	IQGAP3
CTXND2	AL133516.1	LRRN2	HIST2H2BF	LINC01351	CD160	NUF2	NPR1	VSIG8	VSIG8	GORAB-AS1	AL590666.4	SRGAP2B	LOR	AC105940.1	AL137157.1	AL157402.2	CFHR5	AC000032.1	NBPF19	AL390066.1	ASH1L-AS1	LINC01693	AL713852.1	AL590560.2	APOBEC4	AL139142.1	KIAA1614-AS1	Z94057.1	AL136322.1	AL355999.1	DUSP10	DENND1B	PLA2G4A	RGS8	AC064875.1	AL365436.2	AC234582.1	RAB13	ADCY10	PLXNA2	B3GALT2	QSOX1	AL449223.1	RXRG	DNM3OS	NOTCH2NLA	LYPLAL1-DT	MUC1	RNF187	DTL	GLRX2	KCNK3	AL626787.1	SLC35F3	AL358115.1	ATP1B1	PAPPA2	PLEKHA6	BTG2	KIF21B	PRELP	PLEKHA6	FCMR	AL391811.1	EFNA1	GLRX2	BLACAT1	KCNJ10	CFH	AC245100.6	CFHR4	RGS16	AL596087.2	RC3H1-IT1	AL365258.1	AL449223.1	ARHGEF11	AL391001.1	CCDC190	RABGAP1L-DT	AL590101.1	CHI3L1	AL158011.1	HRNR	C1orf61	PBXIP1	C1orf61	RD3	NFASC	NR1I3
AL358472.3	SPRTN	AC096675.1	HIST2H2BE	AL136454.1	ANKRD35	AL358115.1	NUP210L	KCNJ9	KCNJ9	AL031599.1	SH2D2A	AC245014.1	AL358472.4	CHIT1	RABGAP1L-DT	CHI3L1	CRB1	GSTM5	MTMR11	SPAG17	MSTO1	ATF3	PRG4	AL590560.3	AL158011.1	ANKRD45	CACNA1E	TNR	MIR181A1HG	COLGALT2	AL513314.2	NEK7	LINC01720	HMCN1	AC093912.1	KCNN3	THBS3	CKS1B	GPR161	LAMB3	LINC00862	COLGALT2	AL096803.2	TMCO1-AS1	SLC9C2	LINC00624	STUM	AC234582.1	PGBD5	AL606468.1	ASPM	EMILIN1	AL596087.2	B3GALNT2	POGK	CCDC181	CACNA1E	CNTN2	ZC3H11A	CYB5R1	ZBED6	PFKFB2	TRAF3IP3	DISC1	DPM3	KCNT2	CDK18	ADAMTS4	NR5A2	PPIAL4G	NR5A2	RGS8	MAEL	ASTN1	DDX59-AS1	AL713852.1	KIRREL1	AL357568.1	RGS4	GPR52	RD3	BTG2	C1orf21	FLG	AL590666.2	EFNA4	BCAN	SPATA45	CNTN2	AL592295.3
AL358472.2	AL445524.1	NFASC	AC242988.2	CFHR5	ACP6	LINC00626	TRIM46	NR1I3	FAM78B	AL645568.1	KIRREL1	NBPF20	AL358472.3	LINC01353	AL590723.1	BTG2	NEK7	KCNA3	C1orf54	WARS2-IT1	TMEM79	FLVCR1-DT	RGS21	IGSF8	C1orf21	Z94057.1	AL161734.1	AL590723.1	LINC01221	AL158011.1	TAF1A-AS1	DDX59-AS1	RGS18	RGS13	GACAT3	PBXIP1	PKLR	GBA	ASTN1	AC092803.1	AC104461.1	C1orf21	PDC	FAM78B	AL139142.1	ACP6	ITPKB	PAQR6	TRIM67	TAF1A-AS1	KIF14	FOSL2	Z99758.1	RYR2	AL023755.1	SLC9C2	NIBAN1	MFSD4A	AL606489.1	ZC3H11A	AL512306.3	C4BPA	SLC30A1	AL136171.2	AC234582.1	NEK7	PM20D1	CFAP126	CSRP1	PDE4DIP	DDX59-AS1	ARPC5	F5	BRINP2	AC096677.1	AL138927.1	AIM2	AL357568.2	AL391001.1	LINC02803	BATF3	RAB29	AL713852.1	S100A13	NES	AC234582.1	AL365181.3	C1orf143	DSTYK	NUF2
AL592078.2	DISC1	DSTYK	CA14	MIR181A1HG	LINC02804	METTL11B	HCN3	FAM78B	AL626787.1	AL139142.1	AIM2	AC239860.4	AL592078.2	LINC01136	BRINP2	NUAK2	LINC02789	MOV10	CTXND2	NOTCH2	IQGAP3	PTPN14	LINC01031	TSTD1	PDC	PAPPA2	AL096803.2	AL591043.2	LINC02789	AL713852.1	AC092809.2	AL645504.1	RGS1	LHX9	KCNS3	DCST2	AL365181.3	TMEM79	BRINP2	PROX1-AS1	PPP1R12B	SWT1	AL390957.1	AL596087.2	ANKRD45	NBPF14	ITPKB-AS1	GLMP	SIPA1L2	TLR5	INAVA	AC104695.4	Z99572.1	PLD5	AL031599.1	ANKRD45	ELF3-AS1	FCMR	CNTN2	ZBED6	DYRK3	CR1L	AC092803.1	AL353052.1	MTX1	AL513217.1	RAB7B	AL450163.1	PRELP	NBPF9	AL358473.1	AL391645.1	TNFSF4	RALGPS2	SYT2	AL358473.1	CADM3	TMCO1-AS1	LINC00970	RASAL2-AS1	VASH2	PM20D1	BRINP3	AL358472.2	RRNAD1	RAB25	KCNJ10	AC096642.1	LEMD1-DT	GPA33
DCST1	NID1	AC093422.2	ZNF687-AS1	TNNI1	LINC01731	CENPL	PKLR	AL626787.1	AL596087.3	RABGAP1L-DT	CADM3	LINC01138	CHRNB2	TMCC2	RASAL2-AS1	RAB29	KIF14	TRIM45	ANXA9	NBPF26	AL365181.3	LYPLAL1-DT	LINC01221	TOMM40L	RGS21	C1orf220	AL096803.4	ASTN1	KIF21B	PDC	AC092809.4	ELF3-AS1	AL136454.1	AL358473.1	AC079148.3	EFNA4	AL590666.2	IQGAP3	AL136114.1	AL592148.3	SYT2	ZNF281	ZBTB41	DNM3	TDRD5	NOTCH2NLC	WNT9A	HAPLN2	MAP3K21	LIN9	LMOD1	RASGRP3	DNM3OS	AL591686.2	RABGAP1L-IT1	RABGAP1L-IT1	LGR6	CD55	LEMD1	RHEX	PFKFB2	LINC01717	TLR5	AL391832.4	PAQR6	LGR6	RHEX	NUF2	RAB7B	CGN	SYT2	RGS2	ASTN1	ANGPTL1	ADORA1	AC096677.1	CADM3-AS1	FAM78B	C1orf105	ANGPTL1	USH2A	RAB7B	AL354771.1	KCNN3	AIM2	BCAN	AL121987.1	MARC2	AL022397.1	TBX19
AC234582.1	LINC01139	IL19	TUFT1	PPFIA4	HIST2H3D	DARS2	AL353807.5	AL596087.2	AL596087.2	LINC02803	CADM3-AS1	AC245100.1	EFNA3	KLHDC8A	C1orf220	RAB7B	CAMSAP2	WARS2	SELENBP1	NBPF10	LINC02772	LYPLAL1-AS1	DDX59-AS1	AL592435.1	NAV1	TDRD5	BRINP3	BRINP2	IPO9-AS1	AL096803.4	LEFTY1	SYT2	RGS2	PHLDA3	AC011239.1	MUC1	ATP1A2	HDGF	RASAL2-AS1	LEFTY1	OPTC	PPP1R12B	AL136322.1	DNM3OS	LHX4	NBPF19	RHOU	BCAN	KCNK1	STUM	UBE2T	QPCT	AL645568.1	TRIM58	TOR3A	ZNF648	PPFIA4	MIR29B2CHG	BLACAT1	AL022397.1	CD55	CAMK1G	ACBD3-AS1	CHRM3	C1orf61	ATP2B4	AVPR1B	AL391001.1	CD55	SLC27A3	ETNK2	GLRX2	BRINP2	TDRD5	MFSD4A	SYT2	ACKR1	AL596087.2	SLC9C2	TOR3A	HLX	IKBKE	LINC01351	PBXIP1	AL121987.1	AL365181.3	ATP1A2	HLX	KCNH1	SLC19A2
TMEM79	AL390728.6	C4BPA	AL365436.2	AC105940.1	HIST2H2AA4	RC3H1-IT1	SEMA4A	AL583804.1	AL583804.1	RALGPS2	ACKR1	AC245100.6	MUC1	BLACAT1	AL353708.3	IKBKE	INAVA	WARS2-IT1	OAZ3	NOTCH2NLA	AIM2	HLX	IPO9-AS1	AL391001.1	IPO9-AS1	ACBD6	AL391645.1	FAM163A	AL645504.1	ERVMER61-1	AL162595.1	OPTC	PTPRC	AC096677.1	AC013267.2	AC234582.1	ATP1A4	IGSF9	IER5	SDE2	ATP2B4	SYT2	PTPRC	AL590723.1	CACNA1E	MTMR11	FAM89A	AL365181.3	SLC35F3	ITPKB-AS1	SOX13	CYP1B1	ASTN1	SH3BP5L	QSOX1	RGS8	ADORA1	HSD11B1-AS1	C4BPA	SERTAD4	UTP25	HSD11B1-AS1	ITPKB	CHRM3-AS2	BCAN	SERTAD4-AS1	FAM72A	ILDR2	CD34	KCNN3	GOLT1A	B3GALT2	RALGPS2	XPR1	PM20D1	CHI3L1	NHLH1	AL583804.1	TNN	AXDND1	LINC02257	C1orf147	KCNT2	DCST2	ATP1A2	AL590666.2	ATP1A4	DUSP10	ATF3	TNFSF4
C1orf61	AC079779.2	AL445493.2	RIIAD1	PLEKHA6	HIST2H2AC	TDRD5	HAPLN2	AL451050.2	AL451050.2	ANGPTL1	NHLH1	AC239804.1	THBS3	LEMD1-DT	QSOX1	C1orf147	AL358473.1	NOTCH2	HRNR	AC239799.1	AL590560.2	AL929091.1	AL645504.1	FAM78B	ELF3-AS1	XPR1	LINC02770	LINC02818	TIMM17A	LINC01351	ACTA1	ZBED6	AL157402.2	SOX13	AC093690.1	THBS3	AL121987.2	AL592295.4	LINC01344	H3F3A	KLHDC8A	AC104463.2	MIR181A1HG	CACNA1E	RNASEL	RFX5	DISC1	CFAP45	AL355472.2	AL451047.1	NUCKS1	SOS1-IT1	RALGPS2	AC093390.2	KIAA1614	AL355999.1	LINC01353	AL592402.1	PLXNA2	BPNT1	SYT14	KCNH1	ITPKB-AS1	OR2M4	AL590560.2	SERTAD4	AL590138.1	AL451050.2	SLC30A1	DCST2	AL512306.3	CFHR1	ANGPTL1	LAMC2	DYRK3	GOLT1A	VANGL2	AL451050.2	TNR	NPHS2	AC092809.2	RASSF5	CFHR5	EFNA4	ATP1A4	LRRC71	AL592295.5	LINC02257	USH2A	CENPL
IQGAP3	AC141930.1	KCNH1	TDRKH-AS1	LRRN2	MINDY1	AL359853.2	SH2D2A	Z99572.1	CD247	TDRD5	VANGL2	AC245297.3	HCN3	RAB7B	LHX4	RASSF5	ASCL5	NBPF26	SHE	ACP6	IGSF9	AL596330.2	ELF3-AS1	AL626787.1	LINC01353	KIAA1614	AL359081.1	AL713852.1	ELF3-AS1	RGS21	FAM89A	AC096645.1	AL358473.1	ETNK2	AC016907.2	RUSC1-AS1	AL592435.1	AL592295.3	NMNAT2	AL353593.1	MAPKAPK2	KDM5B	AC104461.1	RGS8	APOBEC4	SELENBP1	AL136171.2	TAGLN2	GNG4	JMJD4	FAM72A	AC013480.1	ANGPTL1	LINC01250	STX6	AL713852.2	PIK3C2B	PROX1-AS1	SERTAD4	LIN9	AL022397.1	KCNK2	FAM89A	RNF144A	CFAP45	HHAT	NEK2	C1orf112	PTPN14	ADAM15	PFKFB2	ZBTB41	TDRD5	APOBEC4	IRF6	MFSD4A	AL592295.3	Z99572.1	LINC02803	RGS8	AC092809.4	AL445493.2	ASPM	EFNA1	CASQ1	AL590560.2	DDR2	AL513314.2	ESRRG	RC3H1-IT1
AL365181.3	AC231981.1	LPGAT1-AS1	AL589765.6	AC096675.1	SELENBP1	FAM163A	SLAMF8	F5	AL023755.1	LINC02818	OLFML2B	AC245297.2	ASH1L-AS1	CR1L	AL162431.1	FCMR	AL645504.1	NUDT17	TDRD10	NBPF14	KCNJ10	AL591895.1	AC104463.2	AL596087.2	LRRN2	AL162431.1	AL390957.1	CRB1	SLC45A3	AL357793.2	TRIM67	KLHDC8A	CHI3L1	GOLT1A	AC106870.1	C1orf61	LMX1A	NUF2	AL354953.1	CCSAP	YOD1	ADIPOR1	KIF21B	APOBEC4	PDC	CGN	KCNK1	KCNJ10	GREM2	AL353593.1	YOD1	EML4	TDRD5	AC019118.2	IER5	LINC01350	LRRN2	PROX1	NENF	PARP1	SERTAD4-AS1	USH2A	OR2L13	AC068481.1	KCNJ10	DTL	AC096637.2	BX284613.2	SLC30A10	TRIM46	AL445493.2	C1orf53	AL353708.1	AL365258.1	SYT14	PM20D1	FCRLB	ASTN1	BRINP2	LINC01350	AL596330.2	HSD11B1	CRB1	AC234582.1	NIT1	AL590560.3	HSD17B7	TAF1A-AS1	TAF1A-AS1	AXDND1
NES	COLEC11	AC099563.2	HRNR	RAB7B	AL365436.2	LHX4	AL590560.2	GORAB-AS1	LINC00626	AL161734.2	SPATA46	CGN	SEMA4A	PLXNA2	KIAA1614-AS1	HSD11B1	SHISA4	NBPF10	AL592078.2	NOTCH2NLC	NHLH1	ITPKB	KDM5B	AL031275.1	AC096675.1	KIAA1614-AS1	B3GALT2	AL136322.1	RHEX	LINC01221	KCNK1	LEMD1	BTG2	PLEKHA6	EHD3	IQGAP3	ILDR2	AL358115.1	AL449223.1	TAF5L	CAMK1G	PRELP	AC104463.2	COLGALT2	AL138778.1	THEM4	AL391832.4	AL121987.1	PLD5	HIST3H2BB	AL606753.2	EPAS1	XPR1	DCDC2C	CACNA1E	AL096803.2	NFASC	LINC02775	ATF3	JMJD4	KCNK2	ESRRG	AC079148.3	AC013460.1	CFAP126	TGFB2	AC096637.1	MROH9	C1orf115	MUC1	AL592402.1	LHX9	XPR1	DDX59-AS1	AL022397.1	RASSF5	C1orf226	QSOX1	CACNA1E	ELF3-AS1	AC099066.2	TRAF3IP3	NEK7	C1orf61	ADAMTS4	CFAP45	AL391001.1	LINC02765	DNAH14	FAM163A
AIM2	AC010907.2	USH2A	FLG	CR1	OAZ3	AL161734.2	VSIG8	C1orf105	F5	AL161734.1	C1orf226	AL365436.2	HAPLN2	AL606753.2	LINC01344	TRAF3IP3	AL513217.1	NOTCH2NLA	PBXIP1	NBPF19	KLHDC9	ITPKB-AS1	PCAT6	LINC00970	NFASC	STX6	PHLDA3	LINC01221	CR1L	LMOD1	AL391832.2	BLACAT1	RAB29	TMEM81	AC079352.1	BCAN	MAEL	AL451050.2	ZBTB41	EXOC8	LAMB3	OPTC	RABIF	AL096803.2	AL136456.1	AL450992.2	CHRM3	ATP1A2	AL591686.2	AGT	SERTAD4	LHCGR	LAMC2	LINC01871	GLRX2	PDC	TMCC2	CNIH3	FLVCR1-DT	OBSCN	LYPLAL1-DT	TAF1A	RHOB	MIR3681HG	AL592295.4	LYPLAL1-DT	DTL	FMO3	AL929091.1	THBS3	PTPN14	ZNF281	LAMC2	AC096677.1	TRAF5	DYRK3	AL499616.1	HMCN1	RGS13	AC104463.2	H3F3A	AL360091.3	KIF14	BCAN	NOS1AP	KCNJ10	AL357568.1	EPHX1	ACBD3-AS1	LHX4
AL121987.1	LINC00570	ESRRG	S100A9	PLXNA2	FLG2	SHCBP1L	NR1I3	AL645568.1	GORAB-AS1	PRG4	PBX1	CELF3	KIRREL1	LINC01717	AL645504.1	C1orf143	GPR37L1	AC239799.1	PYGO2	AC242842.1	C1orf226	PSEN2	ZBED6	DNM3	CNTN2	IER5	PPFIA4	AC104461.1	AL022397.1	AC104463.2	ERO1B	PIGR	FAM72A	KLHDC8A	VIT	AL365181.3	AL136984.1	SFT2D2	AL136322.1	GGPS1	HSD11B1-AS1	ZC3H11A	KLHL12	PDC	PHLDA3	KCNN3	CHRM3-AS2	ATP1A4	ZBTB18	SIPA1L2	NEK2	B3GNT2	AL713852.2	LINC00298	KIF21B	PTGS2	KLHDC8A	AL391811.1	VASH2	AL353593.1	ZC3H11B	AL391811.1	AC018742.1	GEN1	AL450163.1	MARC2	AL606468.1	FMO4	LINC02765	FAM189B	KCNK2	KIF21B	APOBEC4	SYT2	INTS7	C4BPA	AL357568.1	AL096803.2	AL136456.1	CYB5R1	GJC2	AC092803.2	CAMSAP2	AL365181.3	AL450163.1	AL121987.1	TMCO1-AS1	AL591895.1	STUM	KIAA1614
SPATA46	MYCNUT	LINC00210	S100A4	LINC01717	AL162258.2	COLGALT2	FAM78B	ASTN1	DNM3-IT1	PDC	AL391001.1	AL589765.1	AL138899.1	CAMK1G	ELF3-AS1	AL356364.1	ADORA1	ACP6	DCST1	ADAMTSL4	AL592435.1	FAM89A	AC096675.1	DNM3-IT1	TMEM81	CACNA1E	ADORA1	AL645504.1	SERTAD4	PCAT6	EDARADD	PLXNA2	IKBKE	LEMD1-DT	STRN	AL590666.2	TBX19	TBX19	PTPRC	ERO1B	SYT14	KLHDC8A	RHEX	AL138778.1	AC096675.1	PBXIP1	RGS7	CASQ1	AC118555.1	OPN3	AC096637.2	ASPRV1	LINC00862	LINC00299	ELF3-AS1	AL354771.1	LEMD1	DNAH14	TGFB2	TRIM11	DUSP10	DNAH14	DNAJC5G	KCNS3	DDR2	BROX	PROX1-AS1	CENPL	AC092811.1	HCN3	AL360093.1	PHLDA3	DDX59-AS1	FAM72A	TAF1A-AS1	IRF6	AL357568.2	LINC01680	AL365258.1	PRELP	IBA57	BATF3	INAVA	AL590666.2	AL626787.1	ATP1A4	F5	TMEM63A	AL627308.3	IER5
DDR2	RHOB	TAF1A-AS1	AL513523.3	CAMK1G	AL513523.3	LINC01035	AL626787.1	RALGPS2	TNFSF4	LINC01031	AL357568.1	C2CD4D-AS1	AL590560.3	LINC02608	GPR37L1	LINC02817	CHIT1	NBPF14	ADAM15	CTXND2	NUF2	SPRTN	NFASC	AL137157.1	LEMD1	AL161734.1	ATP2B4	PPP1R12B	VASH2	CHI3L1	CHRM3	AL606753.2	C1orf147	RASSF5	CDKL4	AL590560.3	CCDC181	C1orf112	MIR181A1HG	EDARADD	AL022397.1	SRGAP2	HSD11B1-AS1	PTPRC	NFASC	ADAM15	PLD5	AL121987.2	OR2L5	EXO1	DTL	EVA1A	AC096677.1	LINC01814	ARL8A	B3GALT2	BLACAT1	COQ8A	BPNT1	CCSAP	CNIH3	AC099066.2	NLRC4	AC079148.3	ILDR2	LEFTY1	PROX1	DARS2	TMEM63A	SEMA4A	AC096642.1	ELF3	AC096677.1	DYRK3	AC099066.2	SYT14	LINC00970	B3GALT2	ELF3	ATP2B4	AL670729.3	HLX-AS1	SHISA4	NES	ILDR2	CFAP126	PRRX1	LEFTY1	IBA57	SHCBP1L
NUF2	EMILIN1	AL592148.3	AL358472.3	HSD11B1-AS1	PBXIP1	AL136454.1	AL596087.2	ANGPTL1	AL645568.1	AL365258.1	AL357568.2	THEM4	F11R	AL592402.1	PCAT6	FAM177B	ZC3H11A	NBPF9	EFNA4	SELENBP1	CCDC181	DISC1	CNTN2	SLC9C2	BLACAT1	AL096803.2	ETNK2	SYT2	SDE2	ZBED6	CHRM3-AS2	HHAT	AC244034.2	C4BPA	LINC01126	IGSF9	C1orf112	METTL11B	ZNF281	LGALS8	AL590101.1	CR1L	AL022397.1	LINC00862	CNTN2	EFNA4	KIF26B	PEA15	OR2M3	AL591686.2	AL606468.1	AC007099.1	SHISA4	ID2	ZC3H11A	AL136456.1	SRGAP2	AL133516.1	DUSP10	EXOC8	AL596330.2	LEFTY1	LINC01913	PTRHD1	AL136984.1	AL162595.1	ZC3H11B	SHCBP1L	SDE2	RHBG	LYPLAL1-AS1	ARL8A	SYT2	IRF6	CDC42BPA	AL022397.1	RC3H1-IT1	AL136456.1	ZC3H11A	KISS1	KCNK1	HLX	AL513217.1	KCNJ10	MAEL	OLFML2B	Z97200.1	PYCR2	OBSCN	COLGALT2
AL391001.1	SLC5A6	EPHX1	CREB3L4	G0S2	ARHGEF2	ASPM	AL583804.1	TDRD5	ASTN1	LINC02789	AL358115.1	AL450992.2	PCP4L1	AL392172.2	ZC3H11A	AL392172.2	AL592146.2	NOTCH2NLC	MUC1	RIIAD1	C1orf112	NID1	TMEM81	ANKRD45	SLC45A3	LINC02770	PLEKHA6	AC104463.2	LIN9	AC096645.1	PLD5	KCNH1	RASSF5	AL596218.1	AC016722.2	KCNJ10	BX284613.2	CENPL	KIF21B	AL359918.2	LINC00467	AL606753.2	LINC02608	NAV1	TMCC2	MUC1	AL390860.1	KLHDC9	SNTG2-AS1	ZBTB18	CENPF	AC010105.1	ELF3-AS1	LPIN1	NFASC	CFHR4	PLXNA2	TRIM67	AL512343.2	ERO1B	DNAH14	PSEN2	ZFP36L2	CENPA	Z99758.1	FAM89A	TMEM63A	NIBAN1	ITPKB	HAPLN2	TLR5	ADIPOR1	ZBED6	SYT14	AL353689.3	AL590101.1	GPR52	CFHR1	GOLT1A	GOLT1A	SLC35F3	AL592148.3	ELF3	AL121987.1	Z99758.1	AL450163.1	BX284613.2	AL512343.2	AL353593.1	LINC02770
ILDR2	AC104695.2	AL731702.1	MUC1	AL022397.1	AL590666.4	CRB1	CD247	XPR1	RALGPS2	NR5A2	LINC00970	TCHH	MPZ	AL359979.1	AC096675.1	TLR5	SOX13	NBPF19	AC234582.1	AL589765.7	SUCO	AL390728.5	LEMD1	QSOX1	AC119673.2	B3GALT2	AL512306.3	KDM5B	OBSCN-AS1	SOX13	LINC01341	AL590101.1	IL10	LINC01717	AC092567.2	AL121987.1	MROH9	DARS2	RABIF	AL645465.1	VASH2	LINC01717	AC092803.1	IPO9-AS1	LEMD1-AS1	AC234582.1	OR2L2	DDR2	SNTG2	OR2M3	SPATA17	VAMP8	SYT2	AC064875.1	KLHDC8A	LHX9	AL606753.2	MAP3K21	LIN9	EDARADD	IBA57	SNAP47	AC018682.1	UCN	METTL18	DISC1	AL512343.2	PLA2G4A	GJC2	ACKR1	SUSD4	TMEM183A	TMEM81	AL022397.1	AL451047.1	AC096637.2	PAPPA2	MIR181A1HG	NFASC	PFKFB2	RBM34	FAM177B	ADORA1	ATP1A4	FMO4	DDR2	MROH9	STUM	AL670729.3	ASPM
AL451050.2	FOSL2	GJC2	THBS3	KCNH1	MRPL24	KIF14	AL023755.1	AL161734.2	ANGPTL1	ASCL5	GORAB-AS1	FLG	NOS1AP	AC138393.3	TMCC2	AC092809.2	REN	HIST2H2BE	C1orf61	S100A12	CENPL	TRIM58	BLACAT1	CACNA1E	PM20D1	LINC01031	AC096675.1	OPTC	OBSCN	LEMD1-DT	OR2L5	SPATA45	CR2	CAMK1G	AC008074.2	ATP1A2	FMO3	Z99127.4	KLHL12	AL591623.1	PROX1-AS1	SYT14	VASH2	ELF3-AS1	LEMD1	RUSC1-AS1	AC013460.1	BX284613.2	AC105450.1	SNTG2-AS1	TGFB2	VAMP5	LINC01353	MYCNOS	LEMD1	PHLDA3	LINC01717	RYR2	IBA57	OPN3	AL353593.1	WNT9A	VRK2	SPDYA	BX284613.2	COA6-AS1	HIST3H2BB	LINC01351	LINC02814	AL590560.3	AL133516.1	ETNK2	LEMD1-DT	INTS7	AL627308.3	BATF3	RGS16	KIF21B	CNTN2	AL445493.2	AL359918.2	TLR5	ZC3H11A	AL450163.1	PIGC	CCDC190	FMO4	AL627308.3	TRIM11	CRB1
